7d72e5b6-7704-476f-9d38-8d5f261016c7	weqeqwe
7d72e5b6-7704-476f-9d38-8d5f261016c7	dqw
e555b73c-4e0c-453a-bc10-e1509fa18348	item2
a54bbc7b-59eb-4a38-849a-e43ef1b8304a	break, continue ,return
3ba398cb-0399-41b2-98b7-2ed4220e4fa8	variables, arrays, control statements, loops, recursion, data abstraction and objects in an integrated development
2499711d-8cf0-476d-9534-fe00f0475658	problem , task, difficult, approch,easy
a8be8fdd-3a54-4e70-aa5c-56e24e9e403b	Input Output Stream file read write
fb4a1d76-ee3c-41c5-a90f-04a4cbf6ef2d	inheritance, data binding, polymorphism
3da62806-eab4-4e50-85f7-c27836c44a3b	List ADT, Stack ADT, Queue ADT.
a8b94f7f-986d-479b-80a4-a7b528984380	fixed-size ,collection, data structure
45d8b4dc-5da5-46af-a643-3143b6af9f13	string, substring ,index,truncate ,array,characters
c39ad818-307a-4c7a-9672-4e8e85c0d624	fibonacci series, armstrong number, prime number, palindrome number, factorial number, bubble sort, selection sort
53894fe9-2e5a-4cc0-a1a6-0fda50fcae49	Text Editor Eben Upton and the RaspBerry Pi  Python Code Playground
75e52dde-8992-4237-9b42-7004977bd3d7	Values types names  keywords Operators and operands
89010e0b-74f4-43f9-be0d-f6b83045feb7	block, control,  statements, return type, arguments, parameters
fa1c2a6a-f594-4746-934c-f901c60f2d5a	for , while ,do while , break , continue
c636ac62-1683-4b64-a42c-c38fc57c0f89	if , else if ,else ,break, true , false ,
ea6298eb-c495-43f0-9b47-81ee583acee5	Supervised Learning, Unsupervised Learning
0a4bcc97-9ec2-4dae-b11c-2d868623cb49	Model Representation, Cost Function, Gradient Descent
2badb32c-192a-457f-8eee-9aa548441cf4	Matrices and Vectors, Addition and Scalar Multiplication, , Matrix Vector Multiplication,  Inverse and Transpose
aebacdd7-f06c-45a0-9854-9e12f2103902	Multiple Features, Gradient Descent ,  Feature Scaling, Features and Polynomial Regression
24d6bdce-432d-481f-8417-f1b9fca3c745	Hypothesis Representation, Decision Boundary, Cost Function, Simplified Cost Function and Gradient Descent
7e3b76e4-dffe-42b2-9860-ffc46eb37d11	introduction_flat
7e3b76e4-dffe-42b2-9860-ffc46eb37d11	continute
7e3b76e4-dffe-42b2-9860-ffc46eb37d11	regular expression
7e3b76e4-dffe-42b2-9860-ffc46eb37d11	regular language
f9b95515-f187-44dc-b2f7-62ec48ac88ce	finiteautomata
8c6e25d5-1d1f-47fb-9888-894e04e4592c	language
8c6e25d5-1d1f-47fb-9888-894e04e4592c	symbol
8c6e25d5-1d1f-47fb-9888-894e04e4592c	alphabet
8c6e25d5-1d1f-47fb-9888-894e04e4592c	flat
8c6e25d5-1d1f-47fb-9888-894e04e4592c	introduction
f9b95515-f187-44dc-b2f7-62ec48ac88ce	regular expressions
f9b95515-f187-44dc-b2f7-62ec48ac88ce	pumping lemma
530d1403-ff34-485d-8ee4-3f186f019bf7	context free grammar
530d1403-ff34-485d-8ee4-3f186f019bf7	CFG
530d1403-ff34-485d-8ee4-3f186f019bf7	parsing
530d1403-ff34-485d-8ee4-3f186f019bf7	chomsky normal form
15fb5a68-0e00-485f-96e8-c10a3dab8007	introduction_CD
15fb5a68-0e00-485f-96e8-c10a3dab8007	compiler design
15fb5a68-0e00-485f-96e8-c10a3dab8007	assembler
15fb5a68-0e00-485f-96e8-c10a3dab8007	program execution
c8ac9256-7951-49b1-ae86-a41be7894406	introduction_CD
c8ac9256-7951-49b1-ae86-a41be7894406	continute
c8ac9256-7951-49b1-ae86-a41be7894406	low level program
c8ac9256-7951-49b1-ae86-a41be7894406	object code
a7396fa7-6c95-4712-a053-22f60d852f70	parsing
a7396fa7-6c95-4712-a053-22f60d852f70	chomsky normal form
a7396fa7-6c95-4712-a053-22f60d852f70	CFG
a7396fa7-6c95-4712-a053-22f60d852f70	context free grammar
1965ac82-4792-45e1-961a-1de7b843fc2f	introduction_ML
1965ac82-4792-45e1-961a-1de7b843fc2f	model
1965ac82-4792-45e1-961a-1de7b843fc2f	testing data
1965ac82-4792-45e1-961a-1de7b843fc2f	training data
2a6e3d3e-7b0d-443d-a8c2-740d456de4f0	gradient descent
2a6e3d3e-7b0d-443d-a8c2-740d456de4f0	local maxima
2a6e3d3e-7b0d-443d-a8c2-740d456de4f0	local minima
2a6e3d3e-7b0d-443d-a8c2-740d456de4f0	differentiation
320ddf01-74b8-435e-953d-adfa64de928f	introduction_MATH
320ddf01-74b8-435e-953d-adfa64de928f	differentiation
320ddf01-74b8-435e-953d-adfa64de928f	minima
320ddf01-74b8-435e-953d-adfa64de928f	maxima
836d9050-ffc1-4dbe-a43d-fe7adbbd51fe	now
836d9050-ffc1-4dbe-a43d-fe7adbbd51fe	then
